"name","release","popularity"
"국가부도의 날","2018-11-28",2.626
"Bernie the Dolphin","2018-12-07",3.529
"DriverX","2018-11-30",3.463
"Yol Arkadaşım 2","2018-10-12",2.445
"Incredible Violence","2018-10-01",1.957
"ജോസഫ്","2018-11-16",2.841
"Müslüm","2018-10-26",2.671
"Qué León","2018-11-29",2.09
"Lake Fear 3","2018-10-02",2.485
"ഒടിയന്‍","2018-12-13",2.28
"Reborn","2018-11-03",1.837
"Suzzanna: Bernapas Dalam Kubur","2018-11-15",2.142
"A Christmas in Tennessee","2018-12-09",2.831
"Pihu","2018-11-16",2.443
"What You Gonna Do When the World's on Fire?","2018-12-05",3.289
"Cosa fai a Capodanno?","2018-11-15",3.872
"Ternet Ninja","2018-12-25",2.932
"Glass Jaw","2018-10-26",2.465
"Fall City","2018-11-22",3.279
"ドラゴンボール超スーパー ブロリー","2018-12-14",2.96
"Johnny Gruesome","2018-10-16",2.149
"Cutterhead","2018-11-08",2.209
"Hornet","2018-12-18",2.932
"Butterfly Kisses","2018-10-23",3.288
"Christmas on Holly Lane","2018-11-11",3.399
"Out of the Cradle","2018-12-01",1.897
"Jaga Pocong","2018-10-25",2.036
"Tabaluga","2018-12-06",3.456
"Planeta singli 2","2018-11-09",1.624
"The Blake Mysteries: Ghost Stories","2018-11-30",2.093
"Brampton's Own","2018-10-19",2.23
"Finché giudice non ci separi","2018-11-29",2.472
"जलेबी","2018-10-12",2.725
"성난황소","2018-11-22",1.778
"Antidote","2018-12-14",2.43
"Plagi Breslau","2018-11-29",1.754
"சண்டக்கோழி 2","2018-10-18",2.163
"Cinderella: The Enchanted Beginning","2018-12-15",2.412
"Burnt Offering","2018-10-09",1.804
"Country Christmas Album","2018-12-15",3.326
"मर्द को दर्द नहीं होता","2018-10-26",3.083
"Abgeschnitten","2018-10-11",6.239
"नमस्ते इंग्लैंड","2018-10-19",1.846
"Christmas Cupid's Arrow","2018-11-25",5.184
"Blood, Sweat And Terrors","2018-11-06",1.439
"SuperGrid","2018-11-22",2.3
"Polis Evo 2","2018-11-22",2.456
"Dark Highlands","2018-12-18",1.952
"Pete Holmes: Dirty Clean","2018-12-15",3.696
"Touch Me Not","2018-10-05",3.034
"The Price for Silence","2018-10-19",2.262
"The Price of Everything","2018-11-16",2.322
"Yellow Is Forbidden","2018-11-01",1.699
"Soul to Keep","2018-10-10",4.208
"Life-Size 2","2018-12-02",4.73
"Prodigy","2018-12-19",2.878
"Dilili à Paris","2018-10-10",3.353
"Un Giorno all'improvviso","2018-11-29",2.13
"Zombie at 17","2018-10-27",1.975
"O Grande Circo Místico","2018-11-15",2.521
"California No","2018-12-04",2.827
"Payday","2018-12-05",2.545
"Shoelaces for Christmas","2018-12-02",3.202
"Webcast","2018-12-15",2.109
"A Christmas Arrangement","2018-11-21",2.416
"DWB: Dating While Black","2018-12-18",3.007
"I Krig & Kærlighed","2018-11-15",1.843
"D-Railed","2018-12-01",3.726
"Rent-an-Elf","2018-12-08",4.124
"Her Only Choice","2018-10-06",3.65
"Gol & Gincu Vol 2","2018-10-25",2.485
"Dangerous Matrimony","2018-10-26",1.763
"맛있는 세자매","2018-12-20",3.898
"Nessuno come noi","2018-10-18",2.173
"The Christmas Pact","2018-12-02",3.899
"Peripheral","2018-11-03",1.681
"Of Fathers And Sons - Die Kinder des Kalifats","2018-11-16",1.807
"Nowhere Mind","2018-10-19",3.195
"Kinky","2018-10-12",1.783
"The Lover in the Attic","2018-10-21",1.94
"Alegría, tristeza","2018-11-16",1.395
"Robowar","2018-10-11",1.783
"Cannibals and Carpet Fitters","2018-12-15",2.326
"Слоны могут играть в футбол","2018-10-18",1.882
"Marrying Father Christmas","2018-11-04",3.11
"Tudo por um Pop Star","2018-10-11",1.496
"Vielmachglas","2018-10-04",2.256
"Un adultère","2018-10-05",1.942
"Человек, который удивил всех","2018-10-25",1.56
"Fuck You All: The Uwe Boll Story","2018-11-29",2.295
"8 Remains","2018-11-23",2.176
"斬","2018-10-08",2.665
"Aurora","2018-12-25",1.791
"Troppa grazia","2018-11-22",3.628
"MARS: Inside SpaceX","2018-11-11",2.783
